cycle,pulse_order,pulse_Q_Ah,Q_cumulative_Ah,U_pulse_start_V,U_pulse_end_V,U_rest_start_V,U_rest_end_V,U_finite_rest_ocv_like_V,pulse_drop_mV,rest_recovery_mV,net_relax_from_pulse_end_mV,pulse_duration_min,rest_duration_min,pulse_I_mean_A
0,1,0.25,0.25,4.1762950752678005,4.088665251697243,4.109124242481769,4.122518341904934,4.122518341904934,87.62982357055726,13.394099423164718,33.853090207690784,30.0,60.0,0.5
0,2,0.24999999999999983,0.49999999999999983,4.101663229365387,4.071658890454623,4.090478161785402,4.096251051213988,4.096251051213988,30.00433891076426,5.772889428586225,24.5921607593651,29.999999999999986,59.999999999999986,0.5
0,3,0.24999999999999975,0.7499999999999996,4.077098780401455,4.052723388643058,4.070456442925543,4.081054207700867,4.081054207700867,24.375391758397313,10.597764775323704,28.330819057809542,29.999999999999968,59.99999999999997,0.5
0,4,0.24999999999999975,0.9999999999999993,4.063029861637261,4.011424921589962,4.028398133113106,4.04303041253778,4.04303041253778,51.60494004729976,14.632279424674266,31.605490947818282,29.999999999999968,59.999999999999936,0.5
0,5,0.2499999999999995,1.249999999999999,4.025793094572734,3.965078657537457,3.9815096784554553,3.9962756113161193,3.9962756113161193,60.71443703527679,14.765932860663966,31.196953778662273,29.99999999999994,59.999999999999936,0.5
0,6,0.2499999999999995,1.4999999999999984,3.9795996496354684,3.921223425576758,3.9372630364969794,3.950234288114235,3.950234288114235,58.376224058710235,12.971251617255763,29.010862537476978,29.99999999999994,59.999999999999936,0.5
0,7,0.2499999999999995,1.749999999999998,3.9339561354217056,3.869052851654158,3.8848248112803576,3.8992043803599756,3.8992043803599756,64.90328376754783,14.379569079618015,30.15152870581783,29.99999999999994,59.99999999999988,0.5
0,8,0.249999999999999,1.999999999999997,3.8831971068044986,3.81958911956524,3.8352134779248495,3.847603937118551,3.847603937118551,63.607987239258534,12.39045919370163,28.014817553311033,29.99999999999988,59.99999999999988,0.5
0,9,0.249999999999999,2.249999999999996,3.831766771026098,3.777771662496776,3.793325330689574,3.807252395996088,3.807252395996088,53.99510852932199,13.92706530651422,29.480733499311906,29.99999999999988,59.99999999999988,0.5
0,10,0.249999999999999,2.499999999999995,3.7914920931909646,3.7313000207167493,3.746869228056533,3.7616849198409175,3.7616849198409175,60.19207247421532,14.815691784384466,30.384899124168196,29.99999999999988,59.99999999999988,0.5
0,11,0.249999999999999,2.7499999999999942,3.745913558460387,3.6871288887831204,3.702798989570832,3.7162032126190336,3.7162032126190336,58.7846696772667,13.404223048201658,29.07432383591324,29.99999999999988,59.99999999999988,0.5
0,12,0.249999999999999,2.9999999999999933,3.7003314800911165,3.6490224511573275,3.664884116851261,3.676386821242877,3.676386821242877,51.309028933788966,11.50270439161627,27.364370085549705,29.99999999999988,59.99999999999988,0.5
0,13,0.249999999999999,3.2499999999999925,3.66032962051778,3.612543032765993,3.6286939230047626,3.6393567465902574,3.6393567465902574,47.786587751787124,10.662823585494863,26.81371382426434,29.99999999999988,59.99999999999976,0.5
0,14,0.24999999999999797,3.4999999999999902,3.623009670482931,3.571730936112894,3.588301559658195,3.5987333682392317,3.5987333682392317,51.27873437003716,10.431808581036872,27.002432126337794,29.99999999999976,59.99999999999976,0.5
0,15,0.24999999999999797,3.749999999999988,3.581963725679555,3.5225297874000505,3.539687563438166,3.5500349069716037,3.5500349069716037,59.4339382795046,10.34734353343758,27.505119571553216,29.99999999999976,59.99999999999976,0.5
0,16,0.24999999999999797,3.999999999999986,3.532676899839404,3.46862415321496,3.48659842645446,3.496030393902838,3.496030393902838,64.05274662444383,9.431967448378042,27.406240687878114,29.99999999999976,59.99999999999976,0.5
20,1,0.24999999999999192,0.24999999999999192,4.170794616860208,4.0865876711712765,4.107118994853165,4.1202205342285945,4.1202205342285945,84.20694568893161,13.10153937542946,33.63286305731794,29.99999999999903,59.99999999999903,0.5
20,2,0.24999999999999192,0.49999999999998385,4.099297143646657,4.071331366220715,4.090231519540607,4.096183638010217,4.096183638010217,27.965777425942306,5.952118469609857,24.85227178950211,29.99999999999903,59.99999999999903,0.5
20,3,0.24999999999999192,0.7499999999999758,4.076947223272612,4.0509963358814005,4.068820553736823,4.079932294887248,4.079932294887248,25.950887391211097,11.111741150425125,28.935959005847778,29.99999999999903,59.99999999999806,0.5
20,4,0.24999999999998382,0.9999999999999596,4.061814557946538,4.0095723777425984,4.026644410050869,4.041372580189714,4.041372580189714,52.24218020393945,14.728170138845087,31.800202447115566,29.99999999999806,59.99999999999806,0.5
20,5,0.24999999999998382,1.2499999999999434,4.0240357023929425,3.9632232995346337,3.979758598563517,3.9943679041929743,3.9943679041929743,60.8124028583088,14.609305629457392,31.14460465834057,29.99999999999806,59.99999999999806,0.5
20,6,0.24999999999998382,1.4999999999999272,3.977586878890774,3.919301777672212,3.9354531072304795,3.9481988863849398,3.9481988863849398,58.28510121856212,12.74577915446029,28.89710871272788,29.99999999999806,59.99999999999806,0.5
20,7,0.24999999999998382,1.749999999999911,3.9318110281194505,3.866532672783846,3.8824206367555516,3.8967322708273078,3.8967322708273078,65.27835533560466,14.311634071756174,30.19959804346195,29.99999999999806,59.99999999999806,0.5
20,8,0.24999999999998382,1.9999999999998948,3.880610558356266,3.817507296270792,3.833251125271058,3.845531128927161,3.845531128927161,63.10326208547412,12.280003656103045,28.02383265636932,29.99999999999806,59.99999999999806,0.5
20,9,0.24999999999998382,2.2499999999998788,3.8295750178108006,3.77561749491349,3.7912950683753044,3.8053728920019276,3.8053728920019276,53.95752289731037,14.077823626623243,29.75539708843744,29.99999999999806,59.99999999999806,0.5
20,10,0.24999999999998382,2.4999999999998628,3.7894896404776697,3.7289187730622033,3.7446153369390824,3.759535310438686,3.759535310438686,60.57086741546635,14.9199734996035,30.616537376482622,29.99999999999806,59.99999999999806,0.5
20,11,0.24999999999998382,2.749999999999847,3.743636430519201,3.684915601786737,3.700718186568544,3.7139169914338397,3.7139169914338397,58.72082873246409,13.198804865295788,29.001389647102638,29.99999999999806,59.99999999999806,0.5
20,12,0.24999999999998382,2.999999999999831,3.6979120839503135,3.6476649648474426,3.6636647321382645,3.674787735537149,3.674787735537149,50.247119102870826,11.123003398884723,27.122770689706588,29.99999999999806,59.99999999999806,0.5
